Village,freq,Abanningiana,Avaginata,Avaginata_alba,Ahygrometricus,Postreatus,Vvolvacea,Rsp,Rcyanoxantha,Rdelica,Remetica,Rnigricans,Rrosea,Rsanguinea,Parhizus,Tclypeatus,Teurrhizus,Theimii,Tmicrocarpus
GP,1,18,0,18,18,4,10,2,4,15,5,17,15,11,3,14,18,16,18
CH,1,25,12,23,25,3,13,0,0,25,7,23,22,14,0,11,20,25,22
CU,1,12,0,13,16,5,9,0,0,12,2,15,9,5,0,8,12,13,13
SU,1,3,0,6,6,2,6,0,0,5,2,5,4,3,0,5,14,5,4
SA,1,7,0,9,9,1,7,0,0,9,3,4,5,5,0,7,6,7,1
